iter	MAE
0	45.93103182
1	44.75013261
2	43.61067147
3	42.52164586
4	41.47176518
5	40.45788377
6	39.48121084
7	38.52378616
8	37.60061421
9	36.72356573
10	35.86359798
11	35.02031778
12	34.19702346
13	33.42558617
14	32.66732368
15	31.9522681
16	31.26829393
17	30.58899279
18	29.95622808
19	29.32909472
20	28.75559789
21	28.17987845
22	27.65401814
23	27.15281792
24	26.67246886
25	26.18573865
26	25.75395418
27	25.34729324
28	24.95789464
29	24.5948048
30	24.21835346
31	23.88793078
32	23.55726258
33	23.26247236
34	22.94525597
35	22.63816753
36	22.35633612
37	22.06082218
38	21.81664047
39	21.59497266
40	21.33738052
41	21.09015869
42	20.85092425
43	20.61446365
44	20.38350005
45	20.20941925
46	20.02927569
47	19.8295313
48	19.6367723
49	19.45519118
50	19.27744704
51	19.134266
52	18.96447793
53	18.78606211
54	18.63241836
55	18.49356591
56	18.35691023
57	18.22559865
58	18.09358145
59	17.99416571
60	17.89937356
61	17.81139075
62	17.73654304
63	17.66607073
64	17.59971619
65	17.53565909
66	17.46497018
67	17.38299707
68	17.29624616
69	17.21544327
70	17.16069721
71	17.08134447
72	17.01266168
73	16.96795855
74	16.93224298
75	16.88459675
76	16.84809467
77	16.78886873
78	16.73003307
79	16.70413868
80	16.66132031
81	16.60563183
82	16.57439843
83	16.53474085
84	16.48421626
85	16.44528329
86	16.4120223
87	16.37720718
88	16.33211247
89	16.31735757
90	16.29353045
91	16.26287804
92	16.23766598
93	16.20171886
94	16.18184327
95	16.14854885
96	16.13498329
97	16.11974505
98	16.10071472
99	16.08824558
100	16.06976473
101	16.05102896
102	16.02633238
103	16.02029485
104	16.00023021
105	15.98839278
106	15.98055973
107	15.97104081
108	15.95574176
109	15.94414239
110	15.93409265
111	15.91428198
112	15.91054404
113	15.89435613
114	15.88506746
115	15.86732335
116	15.86116191
117	15.85639943
118	15.85239768
119	15.84275752
120	15.83726717
121	15.83171432
122	15.82495881
123	15.81864845
124	15.81645849
125	15.81472154
126	15.80802512
127	15.80648136
128	15.80176363
129	15.79206101
130	15.78481053
131	15.78293102
132	15.78281655
133	15.77314173
134	15.77147844
135	15.77030696
136	15.76700726
137	15.75941231
138	15.75561879
139	15.75328324
140	15.7450964
141	15.74046941
142	15.73371573
143	15.72812715
144	15.72049924
145	15.71798674
146	15.71573693
147	15.71053595
148	15.70709243
149	15.70073212
150	15.69524071
151	15.68749743
152	15.68559297
153	15.68552496
154	15.68165251
155	15.67533297
156	15.6752617
157	15.67058137
158	15.67025479
159	15.66974986
160	15.66746753
161	15.66557045
162	15.66372273
163	15.66109505
164	15.65569476
165	15.65341981
166	15.65104794
167	15.65094202
168	15.6485805
169	15.6426622
170	15.64134339
171	15.63682611
172	15.63625272
173	15.63177189
174	15.62662442
175	15.62487163
176	15.62064262
177	15.61670177
178	15.61521768
179	15.61459729
180	15.60963516
181	15.60686986
182	15.60485682
183	15.60215988
184	15.60103868
185	15.59811239
186	15.59759722
187	15.59524698
188	15.5914453
189	15.5878738
190	15.58596674
191	15.58512697
192	15.58424384
193	15.57977286
194	15.57803946
195	15.57717896
196	15.57598625
197	15.57598071
198	15.57314241
199	15.56946101
200	15.56940051
201	15.56940028
202	15.5684755
203	15.56695297
204	15.5667413
205	15.56610208
206	15.56604513
207	15.56278932
208	15.56028224
209	15.55716208
210	15.55678004
211	15.55376505
212	15.55230242
213	15.55100397
214	15.55095272
215	15.55093577
216	15.54991788
217	15.5490371
218	15.54323968
219	15.54272904
220	15.53980403
221	15.53753836
222	15.53727647
223	15.53644726
224	15.53633866
225	15.53266913
226	15.5318683
227	15.53114416
228	15.53074169
229	15.52858408
230	15.52821768
231	15.52585967
232	15.52571191
233	15.52323168
234	15.52023885
235	15.51937984
236	15.51737169
237	15.51633248
238	15.51125341
239	15.51059041
240	15.51023815
241	15.50945681
242	15.50830456
243	15.50788671
244	15.50582117
245	15.50565563
246	15.50489793
247	15.50251956
248	15.49906208
249	15.49561071
250	15.49470647
251	15.49410559
252	15.49376134
253	15.49255866
254	15.48961583
255	15.48728916
256	15.48496071
257	15.48264865
258	15.48244622
259	15.48182105
260	15.47689794
261	15.47557122
262	15.47298891
263	15.47264238
264	15.47255893
265	15.46891937
266	15.46727425
267	15.46658333
268	15.46463011
269	15.46189941
270	15.46169604
271	15.46162965
272	15.46075853
273	15.45908909
274	15.45788934
275	15.4566529
276	15.4546395
277	15.45448567
278	15.45448483
279	15.45447536
280	15.45327999
281	15.45322982
282	15.45212742
283	15.45130713
284	15.45102218
285	15.4480602
286	15.44606758
287	15.44350839
288	15.44336683
289	15.441177
290	15.43984012
291	15.43729967
292	15.43588054
293	15.43568906
294	15.43486604
295	15.43330949
296	15.42881421
297	15.42362172
298	15.4194553
299	15.4188138
300	15.41750318
301	15.41614342
302	15.41128042
303	15.40774783
304	15.40436947
305	15.40283185
306	15.40080772
307	15.39687444
308	15.39667521
309	15.3957208
310	15.39321631
311	15.39133353
312	15.388746
313	15.38354715
314	15.38302504
315	15.38063693
316	15.37709238
317	15.37677897
318	15.37567121
319	15.37277817
320	15.3689724
321	15.36643294
322	15.36497477
323	15.36237624
324	15.35940233
325	15.35822507
326	15.35439788
327	15.35360083
328	15.35180616
329	15.35017133
330	15.34925803
331	15.34673076
332	15.34493849
333	15.34426718
334	15.34213821
335	15.34021029
336	15.3385028
337	15.33668009
338	15.3348335
339	15.33416933
340	15.33093884
341	15.32780978
342	15.32495727
343	15.32305552
344	15.32072636
345	15.31738383
346	15.31676166
347	15.31397146
348	15.31168627
349	15.30904621
350	15.30643363
351	15.30472133
352	15.30417717
353	15.30317813
354	15.30160042
355	15.30101133
356	15.29951294
357	15.29844639
358	15.29490503
359	15.29283783
360	15.29178636
361	15.28963879
362	15.28823171
363	15.28693497
364	15.28613612
365	15.28411389
366	15.28287747
367	15.28176439
368	15.27997007
369	15.27867075
370	15.27717803
371	15.27567014
372	15.27512687
373	15.27446571
374	15.27244842
375	15.27108131
376	15.26946372
377	15.26728918
378	15.26602724
379	15.26356813
380	15.26226401
381	15.26070588
382	15.2601553
383	15.25859357
384	15.25379591
385	15.25237661
386	15.25097809
387	15.2491739
388	15.24693559
389	15.24477254
390	15.24135728
391	15.23980236
392	15.23850955
393	15.23589624
394	15.2318602
395	15.22877133
396	15.22728169
397	15.22600258
398	15.2238113
399	15.22089852
400	15.22031143
401	15.2189095
402	15.21454348
403	15.21402889
404	15.21148631
405	15.20900888
406	15.20830691
407	15.2070267
408	15.20503594
409	15.20415375
410	15.20290419
411	15.2020271
412	15.20095569
413	15.20045309
414	15.19933281
415	15.19926414
416	15.19842796
417	15.19767638
418	15.19645802
419	15.19402051
420	15.19237134
421	15.19118441
422	15.1899391
423	15.18725727
424	15.18635313
425	15.18459343
426	15.18306813
427	15.18011523
428	15.17675217
429	15.17496463
430	15.17246607
431	15.17070999
432	15.16797708
433	15.16582537
434	15.16216508
435	15.15987018
436	15.15866563
437	15.15708471
438	15.15488274
439	15.15206119
440	15.15025892
441	15.14766479
442	15.14606259
443	15.14563869
444	15.14412995
445	15.14242153
446	15.14097963
447	15.13851978
448	15.1374782
449	15.13593273
450	15.13431982
451	15.13295642
452	15.13139338
453	15.13013233
454	15.12678578
455	15.12585865
456	15.12420654
457	15.12041068
458	15.118803
459	15.11813063
460	15.11753911
461	15.11553942
462	15.11464042
463	15.11364427
464	15.11213048
465	15.11103982
466	15.11059907
467	15.10830816
468	15.10662136
469	15.1050514
470	15.10439151
471	15.10275726
472	15.10056902
473	15.09874169
474	15.09740564
475	15.09497375
476	15.09416383
477	15.09234651
478	15.09069006
479	15.08913118
480	15.08764892
481	15.08612287
482	15.08517332
483	15.08459258
484	15.08152359
485	15.07871066
486	15.07798243
487	15.0774963
488	15.07568955
489	15.07434618
490	15.07357156
491	15.07078653
492	15.06918069
493	15.0669168
494	15.06608533
495	15.06442118
496	15.06356824
497	15.06167954
498	15.06132526
499	15.06023781
500	15.05993223
501	15.05765722
502	15.05615792
503	15.05443824
504	15.05338759
505	15.05221824
506	15.05102431
507	15.05063826
508	15.04904647
509	15.04680929
510	15.04574931
511	15.04413171
512	15.04230639
513	15.04127944
514	15.03973703
515	15.03935664
516	15.03852439
517	15.03743649
518	15.03685987
519	15.03545691
520	15.03390168
521	15.03323627
522	15.032376
523	15.03057229
524	15.02930923
525	15.0262348
526	15.02465217
527	15.02292406
528	15.02163751
529	15.02143238
530	15.02044704
531	15.01991165
532	15.01851529
533	15.01797128
534	15.01609365
535	15.01561861
536	15.01418627
537	15.0129056
538	15.01193755
539	15.00937546
540	15.00784264
541	15.00629279
542	15.00354993
543	15.00212096
544	15.00193612
545	14.99998739
546	14.99823195
547	14.99663011
548	14.99620554
549	14.99574772
550	14.99526033
551	14.99385685
552	14.99275215
553	14.99196691
554	14.99153775
555	14.99025078
556	14.98938041
557	14.9875114
558	14.98642134
559	14.98562015
560	14.98505357
561	14.98410923
562	14.98265313
563	14.98121873
564	14.980269
565	14.9777785
566	14.97648475
567	14.9761619
568	14.97481374
569	14.97234176
570	14.97167717
571	14.97128938
572	14.97005611
573	14.96716497
574	14.96640485
575	14.96417964
576	14.96370913
577	14.96242747
578	14.96035371
579	14.95980547
580	14.95760624
581	14.95691863
582	14.95636071
583	14.955381
584	14.95410405
585	14.95351834
586	14.95198874
587	14.95135969
588	14.95113114
589	14.94901555
590	14.94749498
591	14.94642601
592	14.94497829
593	14.94446011
594	14.94298397
595	14.94224646
596	14.94193441
597	14.93903836
598	14.93740402
599	14.93615651
600	14.93504398
601	14.93402561
602	14.9338039
603	14.93147381
604	14.93136989
605	14.93003076
606	14.92890504
607	14.92767835
608	14.92647366
609	14.92501955
610	14.92294381
611	14.92278278
612	14.92257629
613	14.92079817
614	14.92070013
615	14.92012917
616	14.91901143
617	14.91827839
618	14.91811212
619	14.9168375
620	14.91528877
621	14.9142178
622	14.91319458
623	14.91243174
624	14.91073558
625	14.90831751
626	14.90764314
627	14.90750307
628	14.90596411
629	14.90446897
630	14.90397582
631	14.90321206
632	14.90289972
633	14.90148836
634	14.89914541
635	14.89855789
636	14.89813356
637	14.897292
638	14.89568568
639	14.89485817
640	14.89352676
641	14.89323305
642	14.89181352
643	14.89036357
644	14.88961658
645	14.8888345
646	14.88794363
647	14.88769829
648	14.88667012
649	14.88485272
650	14.88328592
651	14.88244776
652	14.88059546
653	14.88015987
