iter	Passed	Remaining
0	57	57494
1	61	30903
2	64	21588
3	66	16505
4	67	13457
5	68	11414
6	72	10250
7	74	9259
8	80	8887
9	83	8253
10	85	7666
11	88	7270
12	91	6915
13	94	6621
14	98	6440
15	100	6207
16	102	5945
17	107	5870
18	110	5719
19	115	5667
20	117	5465
21	119	5318
22	120	5134
23	122	4971
24	124	4837
25	128	4803
26	129	4675
27	131	4572
28	133	4477
29	134	4363
30	137	4305
31	141	4266
32	143	4200
33	145	4120
34	148	4093
35	151	4064
36	156	4070
37	163	4130
38	166	4093
39	167	4024
40	170	3999
41	173	3958
42	175	3911
43	180	3912
44	184	3921
45	186	3862
46	188	3819
47	190	3773
48	192	3743
49	195	3720
50	199	3713
51	203	3710
52	205	3675
53	208	3657
54	213	3660
55	215	3638
56	219	3630
57	221	3596
58	223	3570
59	226	3540
60	229	3532
61	231	3501
62	233	3472
63	234	3433
64	236	3407
65	238	3373
66	241	3365
67	244	3356
68	246	3331
69	248	3303
70	251	3290
71	255	3289
72	259	3293
73	261	3272
74	262	3237
75	265	3229
76	267	3208
77	272	3215
78	276	3217
79	277	3196
80	279	3175
81	284	3183
82	289	3193
83	293	3195
84	296	3197
85	300	3195
86	304	3197
87	306	3178
88	309	3164
89	310	3143
90	313	3135
91	318	3143
92	322	3149
93	327	3151
94	329	3141
95	332	3133
96	334	3115
97	337	3101
98	341	3109
99	343	3088
100	346	3081
101	348	3065
102	352	3067
103	353	3046
104	357	3047
105	360	3040
106	362	3026
107	365	3021
108	368	3008
109	371	3004
110	376	3012
111	379	3008
112	381	2996
113	385	2998
114	389	2996
115	393	2997
116	396	2989
117	399	2986
118	403	2985
119	407	2989
120	409	2977
121	412	2970
122	415	2959
123	418	2956
124	420	2943
125	421	2923
126	424	2916
127	425	2897
128	427	2884
129	430	2884
130	434	2882
131	435	2864
132	436	2845
133	439	2840
134	440	2825
135	442	2808
136	444	2797
137	446	2787
138	449	2782
139	450	2769
140	455	2772
141	457	2765
142	461	2764
143	464	2762
144	468	2762
145	471	2758
146	475	2757
147	479	2759
148	482	2758
149	485	2753
150	490	2759
151	494	2758
152	496	2748
153	497	2733
154	499	2722
155	503	2726
156	505	2711
157	509	2715
158	511	2704
159	513	2693
160	516	2692
161	519	2686
162	522	2684
163	525	2680
164	528	2674
165	531	2668
166	534	2663
167	535	2651
168	537	2642
169	540	2638
170	542	2631
171	545	2628
172	547	2615
173	550	2612
174	553	2609
175	556	2603
176	558	2595
177	561	2592
178	564	2588
179	566	2581
180	569	2578
181	572	2571
182	574	2566
183	578	2565
184	581	2560
185	583	2555
186	584	2542
187	586	2534
188	589	2531
189	591	2522
190	594	2516
191	596	2512
192	600	2509
193	602	2501
194	605	2501
195	608	2495
196	610	2486
197	610	2473
198	612	2464
199	615	2460
200	616	2448
201	616	2436
202	618	2428
203	620	2421
204	622	2414
205	624	2405
206	625	2394
207	627	2387
208	629	2384
209	632	2380
210	634	2370
211	636	2366
212	640	2367
213	644	2366
214	645	2356
215	646	2346
216	648	2338
217	650	2333
218	652	2325
219	653	2318
220	655	2311
221	657	2304
222	659	2296
223	660	2288
224	661	2278
225	664	2275
226	666	2268
227	667	2260
228	668	2251
229	670	2245
230	672	2238
231	675	2235
232	676	2227
233	680	2228
234	683	2225
235	685	2219
236	687	2214
237	690	2210
238	694	2210
239	695	2202
240	696	2194
241	699	2191
242	702	2187
243	703	2179
244	706	2176
245	707	2168
246	709	2164
247	712	2160
248	715	2158
249	719	2157
250	721	2154
251	723	2147
252	725	2140
253	727	2137
254	731	2136
255	734	2133
256	737	2130
257	739	2128
258	741	2120
259	742	2113
260	745	2110
261	747	2105
262	750	2102
263	751	2095
264	753	2088
265	756	2086
266	758	2082
267	760	2077
268	763	2074
269	767	2074
270	768	2067
271	769	2060
272	772	2057
273	775	2055
274	777	2050
275	780	2047
276	783	2045
277	785	2039
278	785	2030
279	786	2023
280	789	2019
281	790	2011
282	793	2009
283	795	2004
284	796	1998
285	799	1996
286	802	1994
287	805	1991
288	806	1985
289	810	1984
290	813	1981
291	816	1979
292	819	1977
293	821	1973
294	825	1971
295	827	1967
296	831	1967
297	835	1967
298	839	1967
299	841	1964
300	844	1961
301	847	1958
302	849	1955
303	853	1953
304	856	1950
305	858	1948
306	863	1948
307	867	1948
308	869	1944
309	871	1939
310	875	1940
311	878	1936
312	881	1935
313	885	1934
314	888	1931
315	891	1930
316	895	1929
317	898	1927
318	900	1922
319	904	1922
320	908	1921
321	911	1919
322	915	1918
323	919	1917
324	922	1915
325	926	1914
326	929	1913
327	933	1912
328	936	1909
329	939	1908
330	943	1906
331	946	1904
332	949	1901
333	952	1899
334	955	1896
335	958	1894
336	962	1893
337	965	1891
338	968	1888
339	971	1884
340	974	1883
341	978	1882
342	981	1880
343	985	1879
344	989	1879
345	993	1877
346	997	1876
347	1000	1874
348	1003	1872
349	1007	1871
350	1011	1869
351	1014	1867
352	1016	1863
353	1020	1862
354	1023	1860
355	1026	1856
356	1030	1855
357	1034	1854
358	1038	1853
359	1041	1851
360	1044	1849
361	1048	1847
362	1051	1845
363	1055	1844
364	1059	1843
365	1062	1840
366	1065	1838
367	1070	1838
368	1074	1838
369	1078	1837
370	1082	1835
371	1086	1833
372	1089	1831
373	1092	1829
374	1096	1827
375	1100	1825
376	1104	1824
377	1107	1822
378	1111	1821
379	1115	1819
380	1118	1817
381	1122	1816
382	1126	1814
383	1130	1813
384	1133	1811
385	1137	1809
386	1140	1806
387	1143	1804
388	1147	1802
389	1151	1800
390	1154	1798
391	1158	1796
392	1161	1794
393	1165	1792
394	1169	1791
395	1172	1788
396	1176	1787
397	1179	1784
398	1183	1782
399	1187	1780
400	1190	1778
401	1193	1775
402	1196	1772
403	1200	1770
404	1203	1767
405	1207	1766
406	1210	1763
407	1214	1761
408	1217	1759
409	1221	1757
410	1224	1754
411	1227	1751
412	1230	1749
413	1234	1746
414	1237	1744
415	1241	1742
416	1244	1740
417	1248	1738
418	1251	1736
419	1256	1734
420	1259	1732
421	1263	1730
422	1268	1729
423	1272	1728
424	1276	1726
425	1280	1724
426	1284	1723
427	1288	1721
428	1291	1719
429	1295	1717
430	1298	1714
431	1301	1711
432	1304	1708
433	1308	1705
434	1311	1703
435	1315	1701
436	1320	1701
437	1325	1700
438	1330	1700
439	1336	1700
440	1339	1698
441	1345	1698
442	1349	1697
443	1353	1694
444	1356	1692
445	1361	1691
446	1366	1690
447	1371	1690
448	1376	1689
449	1381	1688
450	1388	1690
451	1395	1691
452	1401	1692
453	1406	1691
454	1411	1690
455	1416	1689
456	1421	1688
457	1425	1687
458	1429	1685
459	1435	1685
460	1441	1685
461	1447	1685
462	1451	1683
463	1457	1684
464	1462	1682
465	1467	1681
466	1472	1680
467	1477	1679
468	1482	1678
469	1487	1677
470	1492	1676
471	1496	1674
472	1500	1672
473	1505	1670
474	1509	1668
475	1513	1666
476	1517	1663
477	1522	1662
478	1525	1659
479	1529	1656
480	1532	1653
481	1536	1650
482	1539	1647
483	1543	1645
484	1546	1642
485	1549	1639
486	1553	1636
487	1557	1634
488	1561	1631
489	1565	1628
490	1568	1625
491	1571	1622
492	1575	1620
493	1579	1617
494	1582	1614
495	1586	1611
496	1589	1609
497	1593	1606
498	1596	1602
499	1599	1599
500	1603	1596
501	1606	1593
502	1610	1591
503	1613	1588
504	1617	1585
505	1621	1582
506	1624	1579
507	1628	1576
508	1631	1573
509	1635	1570
510	1638	1568
511	1642	1565
512	1645	1562
513	1649	1559
514	1653	1556
515	1657	1554
516	1661	1552
517	1665	1549
518	1669	1546
519	1672	1544
520	1676	1541
521	1680	1538
522	1683	1535
523	1686	1532
524	1690	1529
525	1694	1526
526	1697	1523
527	1700	1520
528	1704	1517
529	1707	1514
530	1711	1511
531	1714	1508
532	1717	1505
533	1721	1501
534	1724	1499
535	1728	1495
536	1731	1493
537	1734	1489
538	1738	1486
539	1741	1483
540	1745	1480
541	1748	1477
542	1752	1475
543	1756	1472
544	1759	1469
545	1763	1466
546	1767	1463
547	1771	1461
548	1775	1458
549	1777	1454
550	1781	1451
551	1785	1449
552	1790	1447
553	1793	1443
554	1797	1441
555	1801	1438
556	1805	1436
557	1809	1433
558	1814	1431
559	1817	1428
560	1821	1425
561	1824	1422
562	1828	1419
563	1832	1416
564	1836	1413
565	1840	1411
566	1845	1408
567	1848	1405
568	1852	1403
569	1858	1401
570	1862	1399
571	1867	1397
572	1872	1395
573	1876	1392
574	1882	1391
575	1887	1389
576	1891	1386
577	1896	1384
578	1900	1381
579	1905	1379
580	1910	1377
581	1915	1376
582	1920	1373
583	1923	1370
584	1927	1367
585	1930	1363
586	1933	1360
587	1936	1357
588	1940	1353
589	1944	1351
590	1947	1347
591	1950	1344
592	1954	1341
593	1958	1338
594	1961	1335
595	1964	1331
596	1967	1328
597	1971	1325
598	1974	1321
599	1978	1318
600	1981	1315
601	1985	1312
602	1988	1309
603	1992	1306
604	1995	1303
605	1999	1300
606	2003	1296
607	2006	1293
608	2010	1290
609	2014	1287
610	2017	1284
611	2020	1281
612	2024	1278
613	2028	1275
614	2031	1271
615	2035	1268
616	2038	1265
